City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapaa,22.0752,-159.319,22.38,86,30,6.16,US,2023-04-05 09:00:00
1,bengkulu,-3.8004,102.2655,28.57,68,50,3.62,ID,2023-04-05 09:00:00
2,mataura,-46.1927,168.8643,13.12,77,52,4.75,NZ,2023-04-05 09:00:00
3,tuktoyaktuk,69.4541,-133.0374,-13.01,93,100,4.41,CA,2023-04-05 09:00:00
4,salinopolis,-0.6136,-47.3561,26.17,84,87,5.25,BR,2023-04-05 09:00:00
5,bara,10.3744,10.7288,35.21,8,100,1.21,NG,2023-04-05 09:00:00
6,dikson,73.5069,80.5464,-25.58,93,88,6.09,RU,2023-04-05 09:00:00
7,albany,42.6001,-73.9662,6.28,75,100,1.91,US,2023-04-05 09:00:00
8,mar del plata,-38.0023,-57.5575,14.86,77,31,3.26,AR,2023-04-05 09:00:00
9,komsomolskiy,40.4272,71.7189,18.82,59,48,6.88,UZ,2023-04-05 09:00:00
10,hermanus,-34.4187,19.2345,28.87,53,0,1.1,ZA,2023-04-05 09:00:00
11,dunedin,-45.8742,170.5036,16.94,58,72,1.45,NZ,2023-04-05 09:00:00
12,turayf,31.6725,38.6637,21.96,18,0,7.69,SA,2023-04-05 09:00:00
13,rikitea,-23.1203,-134.9692,25.96,79,50,2.56,PF,2023-04-05 09:00:00
14,jamestown,42.097,-79.2353,12.01,92,47,4.34,US,2023-04-05 09:00:00
15,busselton,-33.65,115.3333,20.39,64,59,8.26,AU,2023-04-05 09:00:00
16,qaanaaq,77.484,-69.3632,-25.32,61,0,2.8,GL,2023-04-05 09:00:00
17,arraial do cabo,-22.9661,-42.0278,19.08,96,0,1.59,BR,2023-04-05 09:00:00
18,punta arenas,-53.15,-70.9167,9.9,74,33,5.24,CL,2023-04-05 09:00:00
19,half moon bay,37.4636,-122.4286,7.97,80,72,5.48,US,2023-04-05 09:00:00
20,igrim,63.1906,64.4162,1.87,97,100,3.19,RU,2023-04-05 09:00:00
21,vardo,70.3705,31.1107,-0.93,79,83,3.69,NO,2023-04-05 09:00:00
22,khatanga,71.9667,102.5,-8.56,92,100,11.29,RU,2023-04-05 09:00:00
23,samarai,-10.6167,150.6667,28.9,76,62,4.14,PG,2023-04-05 09:00:00
24,rio grande,-32.035,-52.0986,18.81,77,100,3.18,BR,2023-04-05 09:00:00
25,mahebourg,-20.4081,57.7,28.48,74,73,1.64,MU,2023-04-05 09:00:00
26,port alfred,-33.5906,26.891,24.05,69,5,5.19,ZA,2023-04-05 09:00:00
27,bethel,41.3712,-73.414,11.49,71,100,3.46,US,2023-04-05 09:00:00
28,new norfolk,-42.7826,147.0587,13.25,67,17,1.3,AU,2023-04-05 09:00:00
29,la asuncion,11.0333,-63.8628,23.88,87,0,6.48,VE,2023-04-05 09:00:00
30,archidona,37.0965,-4.3887,13.78,59,3,1.83,ES,2023-04-05 09:00:00
31,bredasdorp,-34.5322,20.0403,23.07,70,4,3.5,ZA,2023-04-05 09:00:00
32,coahuayana,18.7333,-103.6833,20.98,89,97,1.5,MX,2023-04-05 09:00:00
33,comodoro rivadavia,-45.8667,-67.5,22.41,31,33,13.46,AR,2023-04-05 09:00:00
34,sao filipe,14.8961,-24.4956,22.99,79,92,3.27,CV,2023-04-05 09:00:00
35,castro,-24.7911,-50.0119,16.51,92,84,1.91,BR,2023-04-05 09:00:00
36,genhe,50.7833,121.5167,5.14,35,61,3.19,CN,2023-04-05 09:00:00
37,saint-augustin,51.226,-58.6502,-5.4,78,100,9.04,CA,2023-04-05 09:00:00
38,gannan,47.9147,123.5031,12.2,16,24,2.39,CN,2023-04-05 09:00:00
39,delta del tigre,-34.7633,-56.3853,17.92,88,20,4.12,UY,2023-04-05 09:00:00
40,kloulklubed,7.0419,134.2556,28.94,74,81,7.05,PW,2023-04-05 09:00:00
41,hobart,-42.8794,147.3294,13.47,71,24,2.09,AU,2023-04-05 09:00:00
42,tasiilaq,65.6145,-37.6368,-4.93,97,100,1.17,GL,2023-04-05 09:00:00
43,thompson,55.7435,-97.8558,-17.56,70,27,1.07,CA,2023-04-05 09:00:00
44,salalah,17.0151,54.0924,30.75,30,24,4.3,OM,2023-04-05 09:00:00
45,atuona,-9.8,-139.0333,27.57,72,16,5.44,PF,2023-04-05 09:00:00
46,severo-kurilsk,50.6789,156.125,0.11,88,85,5.71,RU,2023-04-05 09:00:00
47,puerto ayora,-0.7393,-90.3518,25.71,89,91,2.13,EC,2023-04-05 09:00:00
48,ushuaia,-54.8,-68.3,11.14,59,47,4.65,AR,2023-04-05 09:00:00
49,nha trang,12.25,109.1833,32.42,44,44,3.2,VN,2023-04-05 09:00:00
50,east london,-33.0153,27.9116,23.66,70,0,4.93,ZA,2023-04-05 09:00:00
51,pangnirtung,66.1451,-65.7125,-17.16,49,72,3.39,CA,2023-04-05 09:00:00
52,peniche,39.3558,-9.3811,15.67,53,17,3.25,PT,2023-04-05 09:00:00
53,vaini,-21.2,-175.2,25.91,76,83,6.3,TO,2023-04-05 09:00:00
54,bairiki,1.3292,172.9752,28.45,81,48,6.45,KI,2023-04-05 09:00:00
55,afua,-0.1567,-50.3867,23.42,94,92,2.33,BR,2023-04-05 09:00:00
56,imeni poliny osipenko,52.4201,136.4853,4.24,44,73,0.98,RU,2023-04-05 09:00:00
57,narsaq,60.9167,-46.05,-0.91,90,100,1.2,GL,2023-04-05 09:00:00
58,dwarka,22.2394,68.9678,27.18,57,7,5.11,IN,2023-04-05 09:00:00
59,montepulciano,43.1017,11.7868,6.03,66,58,7.42,IT,2023-04-05 09:00:00
60,kingaroy,-26.5333,151.8333,24.78,29,0,1.99,AU,2023-04-05 09:00:00
61,cape town,-33.9258,18.4232,22.76,71,0,1.22,ZA,2023-04-05 09:00:00
62,barrow,71.2906,-156.7887,-19.66,84,100,5.83,US,2023-04-05 09:00:00
63,tarakan,3.3,117.6333,29.25,72,51,4.71,ID,2023-04-05 09:00:00
64,paraiso,9.8383,-83.8656,17.72,98,73,2.32,CR,2023-04-05 09:00:00
65,muros,42.7762,-9.0603,13.68,73,77,1.26,ES,2023-04-05 09:00:00
66,torbay,47.6666,-52.7314,0.55,91,83,8.51,CA,2023-04-05 09:00:00
67,klyuchi,52.2667,79.1667,12.7,33,19,2.79,RU,2023-04-05 09:00:00
68,tuatapere,-46.1333,167.6833,11.99,84,68,6.58,NZ,2023-04-05 09:00:00
69,hasaki,35.7333,140.8333,19.83,52,95,7.12,JP,2023-04-05 09:00:00
70,kyotera,-0.6156,31.5175,17.38,97,100,1.86,UG,2023-04-05 09:00:00
71,bluff,-46.6,168.3333,13.54,77,73,14.45,NZ,2023-04-05 09:00:00
72,vostok,46.4856,135.8833,6.42,40,66,0.82,RU,2023-04-05 09:00:00
73,nanortalik,60.1432,-45.2371,-0.71,98,100,1.79,GL,2023-04-05 09:00:00
74,avarua,-21.2078,-159.775,25.83,73,73,5.71,CK,2023-04-05 09:00:00
